                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0715,                 3.5454,                 1.7908,                0.00566,                0.76667,                0.04387,                0.01922,                 1.7745,                 3.1318,                 1.7479,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.9827,                 3.5137,                 1.7039,                0.00534,                0.73333,                0.08548,                0.03345,                 1.6871,                 3.0947,                 1.6767,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      3,                 1.8822,                 3.4661,                 1.6277,                0.00648,                0.83333,                0.17753,                0.09168,                 1.4999,                 3.0514,                 1.5955,             0.00013204,             0.00013204,             0.00013204
                      4,                   1.76,                 3.2429,                 1.5772,                0.00688,                0.86667,                0.20537,                0.11639,                 1.3764,                 3.0368,                 1.5313,             0.00018065,             0.00018065,             0.00018065
                      5,                 1.7153,                 2.9359,                 1.5274,                0.00687,                0.86667,                  0.217,                0.10017,                 1.6074,                 3.0823,                 1.7706,             0.00022876,             0.00022876,             0.00022876
                      6,                 1.6637,                 2.3849,                 1.4497,                0.00684,                0.86667,                0.20876,                0.07982,                 1.7248,                 3.0817,                 1.8292,             0.00027638,             0.00027638,             0.00027638
                      7,                 1.7197,                 2.2782,                 1.4749,                 0.0068,                0.86667,                0.24347,                0.10698,                 1.8172,                 3.0086,                 1.8461,              0.0003235,              0.0003235,              0.0003235
                      8,                 1.7571,                 2.2391,                  1.478,                0.00676,                0.86667,                0.25314,                0.08976,                 1.8833,                 2.9727,                 1.9377,             0.00037012,             0.00037012,             0.00037012
                      9,                 1.5761,                 2.0667,                 1.4147,                 0.0064,                0.83333,                0.27997,                 0.0873,                 2.0807,                 2.9375,                 2.1335,             0.00041626,             0.00041626,             0.00041626
                     10,                 1.6677,                 2.1268,                 1.4809,                0.00604,                    0.8,                0.34504,                0.10587,                 2.1068,                 2.9305,                 2.2239,             0.00046189,             0.00046189,             0.00046189
                     11,                 1.6576,                 1.9911,                 1.4302,                0.31911,                0.43333,                0.24911,                0.11384,                 2.0614,                 2.8982,                 2.2099,             0.00050703,             0.00050703,             0.00050703
                     12,                 1.5729,                 2.0627,                 1.4611,                0.59995,                 0.1034,                0.22668,                0.11949,                 2.0937,                 2.8757,                  2.341,             0.00055168,             0.00055168,             0.00055168
                     13,                 1.5042,                  1.854,                 1.4062,                0.42266,                0.10934,                0.16275,                0.07121,                 2.2181,                 2.8914,                  2.419,             0.00059583,             0.00059583,             0.00059583
                     14,                  1.546,                 1.8168,                 1.3527,                0.39195,                0.12222,                0.16137,                0.06216,                 2.2508,                 2.8722,                 2.5159,             0.00063949,             0.00063949,             0.00063949
                     15,                 1.5326,                 1.9544,                 1.4173,                0.28128,                0.12222,                0.12846,                0.04884,                 2.0172,                 2.8746,                 2.2682,             0.00068265,             0.00068265,             0.00068265
                     16,                 1.5904,                 1.9097,                 1.4668,                0.36109,                0.17778,                0.18033,                0.06306,                 2.1292,                 2.8166,                 2.2214,             0.00072532,             0.00072532,             0.00072532
                     17,                  1.536,                  1.821,                 1.3763,                0.16743,                0.08889,                0.07655,                0.03474,                 2.1589,                 2.9674,                 2.3334,             0.00076749,             0.00076749,             0.00076749
                     18,                 1.5223,                 1.8188,                 1.3465,                0.37035,                0.12222,                0.12863,                0.04538,                 2.2877,                 3.0903,                 2.4731,             0.00080916,             0.00080916,             0.00080916
                     19,                 1.5871,                 1.7466,                 1.3802,                0.38587,                0.17778,                0.16616,                0.04664,                 2.5643,                 3.0215,                 2.7477,             0.00085034,             0.00085034,             0.00085034
                     20,                 1.5159,                 1.7273,                 1.3194,                0.32947,                    0.2,                0.15368,                0.03667,                 2.4857,                  2.923,                 2.8461,             0.00089103,             0.00089103,             0.00089103
                     21,                  1.504,                 1.6038,                  1.331,                0.39339,                0.34444,                0.19312,                0.03486,                 2.4622,                  2.982,                 2.8771,             0.00093122,             0.00093122,             0.00093122
                     22,                 1.5497,                 1.6912,                 1.3296,                0.14654,                0.25556,                0.13318,                0.03345,                 2.6601,                 3.1231,                 3.0845,             0.00097091,             0.00097091,             0.00097091
                     23,                 1.4637,                 1.6749,                  1.281,                0.29933,                0.14444,                0.15624,                0.04459,                 2.4388,                 3.4638,                 2.7418,              0.0010101,              0.0010101,              0.0010101
                     24,                  1.479,                 1.5674,                 1.2054,                0.30505,                 0.2558,                0.22183,                 0.0495,                 2.3452,                 3.6446,                 2.7094,              0.0010488,              0.0010488,              0.0010488
                     25,                 1.4352,                 1.6412,                 1.3395,                0.16139,                0.16667,                0.13682,                0.02918,                 2.3164,                 3.6323,                 2.5931,               0.001087,               0.001087,               0.001087
                     26,                 1.4452,                 1.5401,                 1.3064,                 0.2317,                0.16667,                0.14663,                0.04058,                  2.115,                 3.2299,                 2.4655,              0.0011247,              0.0011247,              0.0011247
                     27,                 1.4868,                 1.5939,                 1.3003,                0.61907,                0.16667,                0.10397,                 0.0379,                 2.1731,                 3.5078,                 2.6266,               0.001162,               0.001162,               0.001162
                     28,                 1.4237,                 1.5447,                 1.2587,                0.17477,                0.21507,                0.10024,                0.04514,                 2.3083,                 3.3865,                 2.7666,              0.0011987,              0.0011987,              0.0011987
                     29,                 1.3173,                 1.5089,                 1.2262,                0.17477,                0.21507,                0.10024,                0.04514,                 2.3083,                 3.3865,                 2.7666,              0.0012349,              0.0012349,              0.0012349
                     30,                 1.4105,                 1.3963,                 1.2217,                0.18021,                0.31111,                0.17205,                0.08936,                 2.2095,                 3.4939,                 2.5955,              0.0012707,              0.0012707,              0.0012707
                     31,                 1.4164,                 1.5226,                 1.2715,                 0.6726,                0.16667,                0.17479,                0.09287,                 2.1364,                 3.9465,                 2.6224,              0.0013059,              0.0013059,              0.0013059
                     32,                 1.3829,                 1.5028,                 1.2916,                0.61962,                0.22222,                0.23769,                0.10131,                 2.3427,                 5.8685,                 3.2893,              0.0013406,              0.0013406,              0.0013406
                     33,                 1.4313,                 1.4384,                 1.2657,                0.61962,                0.22222,                0.23769,                0.10131,                 2.3427,                 5.8685,                 3.2893,              0.0013749,              0.0013749,              0.0013749
                     34,                  1.389,                 1.3945,                 1.2241,                0.62818,                0.27778,                0.18516,                0.08773,                 2.4305,                 5.4424,                 3.1804,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.4672,                 1.3762,                 1.2562,                0.63723,                0.27778,                0.17558,                0.07722,                 2.4847,                 5.5857,                 2.9844,              0.0013864,              0.0013864,              0.0013864
                     36,                  1.422,                 1.4713,                 1.2868,                0.14975,                0.25556,                0.06633,                0.02442,                 2.4778,                 6.3659,                 2.8625,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.4511,                  1.395,                 1.2455,                0.14975,                0.25556,                0.06633,                0.02442,                 2.4778,                 6.3659,                 2.8625,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.4777,                 1.3816,                 1.2615,                0.05261,                0.51111,                0.04589,                0.01911,                 2.4117,                 6.0019,                  2.873,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.4242,                  1.417,                 1.2245,                0.09185,                0.52222,                0.06671,                0.02683,                 2.3933,                 5.1777,                 2.7496,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.3158,                 1.3134,                 1.1974,                0.66017,                0.22222,                0.16758,                0.09062,                 2.2911,                  3.894,                 2.5308,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.3159,                 1.3114,                 1.1919,                0.66017,                0.22222,                0.16758,                0.09062,                 2.2911,                  3.894,                 2.5308,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.3873,                 1.5174,                 1.2285,                0.13791,                0.35556,                0.17742,                0.11014,                 2.0862,                 3.4981,                 2.3881,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.3897,                 1.3061,                 1.1907,                0.24013,                0.39554,                 0.1654,                0.06369,                 2.0943,                 3.5785,                 2.3973,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.2947,                 1.2694,                  1.172,                0.68141,                0.16667,                0.16357,                0.06332,                 2.1241,                  3.857,                 2.4737,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.3114,                 1.3313,                  1.222,                0.68141,                0.16667,                0.16357,                0.06332,                 2.1241,                  3.857,                 2.4737,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.2802,                 1.2289,                 1.1496,                0.11923,                    0.4,                0.12825,                0.06376,                 2.2059,                 3.9945,                 2.4252,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.3625,                 1.2972,                 1.1925,                0.17327,                0.38133,                0.18447,                  0.082,                 2.3173,                 3.7402,                 2.6705,              0.0012874,              0.0012874,              0.0012874
                     48,                  1.302,                 1.1768,                 1.1252,                0.52868,                0.28889,                0.29565,                0.11484,                 2.2366,                 3.6139,                 2.5989,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.3218,                 1.4186,                 1.2319,                0.52868,                0.28889,                0.29565,                0.11484,                 2.2366,                 3.6139,                 2.5989,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.2606,                 1.2589,                 1.1835,                 0.4793,                0.32222,                0.30064,                0.13737,                 2.0714,                  3.313,                  2.399,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.2858,                 1.2228,                 1.1241,                 0.7095,                 0.2852,                0.36172,                 0.1268,                 2.0105,                 3.0724,                 2.4453,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.2617,                 1.1811,                  1.122,                0.30461,                0.41111,                0.34578,                0.14807,                 1.9193,                 3.0501,                 2.3186,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.2294,                 1.1904,                 1.1314,                0.30461,                0.41111,                0.34578,                0.14807,                 1.9193,                 3.0501,                 2.3186,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.2128,                 1.0953,                 1.1114,                 0.4433,                0.25556,                0.27061,                0.11239,                 2.0816,                 3.3274,                 2.3836,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.2538,                 1.1589,                 1.1114,                0.32988,                0.30552,                0.20106,                0.10561,                 1.9487,                 3.0951,                 2.2169,              0.0012214,              0.0012214,              0.0012214
